t,px,py,vx,vy
2.790000000000000213e+01,2.805536165120462329e+02,2.418398909037373645e+00,1.053424727799154326e+01,-5.428741242799972611e-01
2.800000000000000000e+01,2.816047834555003533e+02,2.364970869549653631e+00,1.048909159109061484e+01,-5.256866590761105629e-01
2.810000000000000142e+01,2.826524870133496847e+02,2.312627109917444912e+00,1.046497956589552025e+01,-5.211885306693406772e-01
2.820000000000000284e+01,2.836998588208239767e+02,2.261072487319810254e+00,1.048245658358967702e+01,-5.099039260124216266e-01
2.830000000000000071e+01,2.847470573175751269e+02,2.214896617033559778e+00,1.046151335143386341e+01,-4.136134816194154129e-01
2.840000000000000213e+01,2.857918076124615823e+02,2.173622271258631944e+00,1.043349254629510625e+01,-4.118734313889847454e-01
2.850000000000000000e+01,2.868305906549491056e+02,2.130213704806808384e+00,1.034216830345566152e+01,-4.562979026347983580e-01
2.860000000000000142e+01,2.878654755320704339e+02,2.086147230631425042e+00,1.035552923897176214e+01,-4.250315833360862050e-01
2.870000000000000284e+01,2.889033794363699030e+02,2.043413281692811889e+00,1.040254884701765192e+01,-4.296473979105200347e-01
2.880000000000000071e+01,2.899457368292364663e+02,2.003939669128813605e+00,1.044459901031405380e+01,-3.598248516031393729e-01
2.890000000000000213e+01,2.909910933625749863e+02,1.968987551043136053e+00,1.046253165645591032e+01,-3.392175027771254237e-01
2.900000000000000000e+01,2.920332468421191834e+02,1.935382889981683174e+00,1.038053793442847450e+01,-3.328757170775398788e-01
2.910000000000000142e+01,2.930733093445558097e+02,1.899896999096361894e+00,1.042071211430454625e+01,-3.768420988485307044e-01
2.920000000000000284e+01,2.941194923419924976e+02,1.857469694475709643e+00,1.050294783442851809e+01,-4.717039933093580828e-01
2.930000000000000071e+01,2.951728986258087843e+02,1.812388184615842501e+00,1.056517784189725795e+01,-4.299262048948881976e-01
2.940000000000000213e+01,2.962313974912781305e+02,1.772257311067045649e+00,1.060479946748985647e+01,-3.726912713771831087e-01
2.950000000000000000e+01,2.972889764929258831e+02,1.735420222688361047e+00,1.054678056546419107e+01,-3.640504985990781761e-01
2.960000000000000142e+01,2.983459048511890046e+02,1.699496465144484603e+00,1.059178659979789749e+01,-3.544246522560018930e-01
2.970000000000000284e+01,2.994041878973309849e+02,1.666521934627487100e+00,1.057387432304115293e+01,-3.050659579508473995e-01
2.980000000000000071e+01,3.004618768018005994e+02,1.632378772784394361e+00,1.057990376635195595e+01,-3.777972860943605848e-01
2.990000000000000213e+01,3.015239920556358584e+02,1.594629786961138551e+00,1.066240131035286076e+01,-3.771824350606551302e-01
3.000000000000000000e+01,3.025914754069968922e+02,1.554546960563363722e+00,1.068726571686793569e+01,-4.244740942820924845e-01
3.010000000000000142e+01,3.036608256499627032e+02,1.513928604732059258e+00,1.069973914244845403e+01,-3.878930236073555582e-01
3.020000000000000284e+01,3.047310825818369153e+02,1.471418098672062857e+00,1.070539949503670130e+01,-4.623171020414563182e-01
3.030000000000000071e+01,3.058032556594540665e+02,1.427352566398564893e+00,1.073806205730704022e+01,-4.189935357058317544e-01
3.040000000000000213e+01,3.068788593293319309e+02,1.382545548795502288e+00,1.077401134025014251e+01,-4.771468139231005434e-01
3.050000000000000000e+01,3.079595057548972932e+02,1.332767371514621768e+00,1.083891717105649377e+01,-5.184167271829419610e-01
3.060000000000000142e+01,3.090457468054023593e+02,1.280704309536365493e+00,1.088590383904510617e+01,-5.228445134730353994e-01
3.070000000000000284e+01,3.101346557069434766e+02,1.229623599703732362e+00,1.089227419177779232e+01,-4.987696817248871151e-01
3.080000000000000071e+01,3.112216691474009735e+02,1.177870281184431711e+00,1.084799461737119231e+01,-5.362966894603601320e-01
