t,px_hat,py_hat,vx_hat,vy_hat,bax_hat,bay_hat
1.010000000000000142e+01,9.864851987753738172e+01,2.345810562767212115e+00,9.863532787666292379e+00,2.169252410719402779e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.020000000000000107e+01,9.951109477733351127e+01,2.471635985417020009e+00,9.822138153553520823e+00,2.517499275004282944e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.030000000000000071e+01,1.003574616167414177e+02,2.739573404083023966e+00,9.776699149766070462e+00,3.329507250427549137e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.040000000000000036e+01,1.011095652834962237e+02,2.516985834907228270e+00,9.701238460473069480e+00,2.473480221937632839e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000000e+01,1.018295333131158600e+02,2.414447577595087768e+00,9.617540621838534420e+00,2.047646429571156612e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000142e+01,1.026290541671657621e+02,2.684127785482731898e+00,9.563254299382064616e+00,2.881529636196776267e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.070000000000000107e+01,1.035395129333466144e+02,2.517210433893875443e+00,9.547905099526957429e+00,2.226513708406524794e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000000071e+01,1.046414518439060402e+02,2.453453203020578677e+00,9.597151419008673301e+00,1.938621689360790490e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.090000000000000036e+01,1.054371271237103116e+02,2.581155841728708822e+00,9.542249214935990764e+00,2.301143957965339770e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.064819658946435936e+02,2.534666148923389706e+00,9.572577676373807520e+00,2.068523621619802189e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000142e+01,1.076285060978734691e+02,2.562493283855951542e+00,9.635931890289056057e+00,2.092428078344548692e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+01,1.085920992869023678e+02,2.583417564639396868e+00,9.635931890289056057e+00,2.092428078344548692e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.130000000000000071e+01,1.097784228975935008e+02,2.660352778878996460e+00,9.710325745537231157e+00,2.279509360046216293e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.140000000000000036e+01,1.109502061746317878e+02,2.679405390675064336e+00,9.777255452438128103e+00,2.267032033334531460e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000000e+01,1.117364181802954448e+02,3.016985380004707729e+00,9.713506370627220221e+00,3.315271353431713530e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.160000000000000142e+01,1.126247133790552937e+02,2.979452288217161460e+00,9.685897049144251980e+00,3.080297321232037255e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.170000000000000107e+01,1.135933030839697153e+02,3.010255261429481966e+00,9.685897049144251980e+00,3.080297321232037255e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.180000000000000071e+01,1.144639747800498810e+02,2.965903741440624408e+00,9.653483356486013633e+00,2.831514214476673064e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.190000000000000036e+01,1.154773526283619276e+02,2.980879854241341498e+00,9.669341156992315334e+00,2.787473029264601054e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.165509745209563022e+02,3.220622043608575957e+00,9.704489151804963853e+00,3.485464548934284479e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.210000000000000142e+01,1.175124798595733466e+02,3.022286101772975186e+00,9.701548007889329028e+00,2.718604588348770279e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000107e+01,1.183284203229827085e+02,2.911957057007202643e+00,9.650906909579518356e+00,2.267030801956198549e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.230000000000000071e+01,1.190856218523172885e+02,3.013382697868898230e+00,9.582716355013248588e+00,2.525359316036489554e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.240000000000000036e+01,1.200438934878186075e+02,3.038636291029263248e+00,9.582716355013248588e+00,2.525359316036489554e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+01,1.210021651233199265e+02,3.063889884189628265e+00,9.582716355013248588e+00,2.525359316036489554e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.260000000000000142e+01,1.219402268945540300e+02,2.987443068480290176e+00,9.576139499761771035e+00,2.194397732470952378e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.270000000000000107e+01,1.229607571204674770e+02,2.748383383033576877e+00,9.596539908005249586e+00,1.348101413393016645e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000071e+01,1.238522275758931244e+02,2.837523946235778638e+00,9.574496844966407849e+00,1.592701257099100598e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+01,1.249738954549586225e+02,2.754642958322104374e+00,9.627463402574472084e+00,1.274008211937520396e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.262677469705060673e+02,2.549540687239989722e+00,9.734069598173066495e+00,5.726194615286429868e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.310000000000000142e+01,1.272335829824791631e+02,2.513510668668776926e+00,9.731634996746322486e+00,4.383433599214523607e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.320000000000000107e+01,1.282067464821537897e+02,2.517894102267991485e+00,9.731634996746322486e+00,4.383433599214523607e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.330000000000000071e+01,1.288053212159340433e+02,2.816422819149097645e+00,9.611581100178678838e+00,1.381064835582142547e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.340000000000000036e+01,1.299080248738326020e+02,2.647162842805993233e+00,9.656858324846238517e+00,7.954632445303391752e-02,0.000000000000000000e+00,0.000000000000000000e+00
